"first.sensor","second.sensor","Psi"
20,21,7.89568243495377
19,21,10.2484486921979
18,21,8.08235730534132
17,21,19.3082516757644
16,21,6.92975624517062
15,21,33.6932384912358
14,21,6.89452279570648
13,21,10.0717354204835
12,21,7.07631362936234
11,21,6.44706853791752
10,21,5.97473153049028
9,21,7.17687573583926
8,21,12.3989313106883
7,21,8.42438994041246
6,21,8.24329191581383
21,20,7.89568243495377
19,20,26.4646298562314
18,20,4.11649466651115
17,20,19.6985858856069
16,20,7.09063178157282
15,20,34.2626703761926
14,20,1.72690552352812
13,20,4.46387070859192
12,20,1.83473800351379
11,20,3.1755633014201
10,20,2.54878622551281
9,20,1.95814114878086
8,20,3.06004786821918
7,20,8.82881183978782
6,20,14.9079434504018
21,19,10.2484486921979
20,19,26.4646298562314
18,19,27.1161350683976
17,19,20.7319358874451
16,19,29.0457241261819
15,19,31.2341306432066
14,19,20.9903201773361
13,19,29.7247946434289
12,19,20.4894801428864
11,19,13.2429307644138
10,19,16.0350197050153
9,19,18.502128184685
8,19,32.2656408101166
7,19,30.5111466576113
6,19,12.3864074895416
21,18,8.08235730534132
20,18,4.11649466651115
19,18,27.1161350683976
17,18,23.1753884880472
16,18,6.97497738105906
15,18,33.7593545322435
14,18,4.33175210331016
13,18,7.78891767361571
12,18,4.46052311817143
11,18,4.95856750130733
10,18,4.15162398779618
9,18,5.42580935887884
8,18,7.79775524830481
7,18,10.4478687506222
6,18,15.7556369927495
21,17,19.3082516757644
20,17,19.6985858856069
19,17,20.7319358874451
18,17,23.1753884880472
16,17,25.3117957414362
15,17,51.6044041936763
14,17,15.6957361437821
13,17,20.4215573050552
12,17,14.9178715054399
11,17,9.71745857285181
10,17,12.5759813946005
9,17,14.5457759376711
8,17,26.2022261137808
7,17,25.1022330445753
6,17,18.1307234958298
21,16,6.92975624517062
20,16,7.09063178157282
19,16,29.0457241261819
18,16,6.97497738105906
17,16,25.3117957414362
15,16,36.1044970119275
14,16,5.33447467411369
13,16,11.0911764083164
12,16,5.96090947648188
11,16,7.42281749740629
10,16,4.63821587922244
9,16,5.94940671347506
8,16,8.40028616221741
7,16,4.26551136211784
6,16,15.2102803815631
21,15,33.6932384912358
20,15,34.2626703761926
19,15,31.2341306432066
18,15,33.7593545322435
17,15,51.6044041936763
16,15,36.1044970119275
14,15,26.811755717206
13,15,43.3444405316481
12,15,27.3123603026887
11,15,30.1283978650521
10,15,20.1442278579874
9,15,28.4768706892428
8,15,44.4883292326143
7,15,41.0460735892381
6,15,35.4036219904357
21,14,6.89452279570648
20,14,1.72690552352812
19,14,20.9903201773361
18,14,4.33175210331016
17,14,15.6957361437821
16,14,5.33447467411369
15,14,26.811755717206
13,14,5.07313153716172
12,14,1.39300549496262
11,14,2.76520893159606
10,14,1.5875217506932
9,14,1.57375829411439
8,14,2.94621730284056
7,14,6.63960284047381
