"LTER_site","date","species","sensor_node","soil_sensor","plot_name","year","surveyed_by","multi.hit_or_top.hit","abundance","Note","USDA_code","corrected_NWT_name"
"NWT",2017-07-11,"ACOROS",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","GEROT","Acomastylis rossii"
"NWT",2017-07-11,"AGROSTIS_SP",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"Agrostis variabilis","AGROS2","Agrostis spp."
"NWT",2017-07-11,"ALLGEY",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","ALGE","Allium geyeri"
"NWT",2017-07-11,"AREFEN",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","ARFET3","Arenaria fendleri var. tweedyi"
"NWT",2017-07-11,"ARTPAT",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",2,"NaN","ARPA18","Artemisia pattersonii"
"NWT",2017-07-11,"BISBIS",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","POBI6","Bistorta bistortoides"
"NWT",2017-07-11,"CALPUR",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","CAPU","Calamagrostis purpurascens"
"NWT",2017-07-11,"CAMROT",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",1,"NaN","CARO2","Campanula rotundifolia"
"NWT",2017-07-11,"CAMUNI",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",2,"NaN","CAUN2","Campanula uniflora"
"NWT",2017-07-11,"CARRUP",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",17,"NaN","CARUD","Carex rupestris ssp. drummondiana"
"NWT",2017-07-11,"CASOCC",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","CAOC4","Castilleja occidentalis"
"NWT",2017-07-11,"ERIPIN",10,2,10.2,2017,"Kelsey Elwood, AJ Lodge, Jo","top-hit",0.5,"NaN","ERPI6","Erigeron pinnatisectus"
